amba_decomposed_encode_10.tlsf.ehoa; synt; zlk-n; 0.117593; 1; 234; 593; 3; 0.117579; 3
amba_decomposed_encode_11.tlsf.ehoa; synt; fpi-n; 0.129317; 1; 250; 640; 3; 0.129290; 10
amba_decomposed_encode_11.tlsf.ehoa; synt; fpj-n; 0.000122; 1; 250; 640; 3; 0.000092; 6
amba_decomposed_encode_11.tlsf.ehoa; synt; tl-n; 0.000041; 1; 250; 640; 3; 0.000031; -1
amba_decomposed_encode_11.tlsf.ehoa; synt; rtl-n; 0.000181; 1; 250; 640; 3; 0.000147; -1
amba_decomposed_encode_11.tlsf.ehoa; synt; ortl-n; 0.000182; 1; 250; 640; 3; 0.000151; -1
amba_decomposed_encode_11.tlsf.ehoa; synt; npp-n; 0.000042; 1; 250; 640; 3; 0.000032; -1
amba_decomposed_encode_11.tlsf.ehoa; synt; zlk-n; 0.135053; 1; 250; 640; 3; 0.135025; 3
amba_decomposed_encode_12.tlsf.ehoa; synt; fpi-n; 0.129147; 1; 266; 687; 3; 0.129118; 10
amba_decomposed_encode_12.tlsf.ehoa; synt; fpj-n; 0.000050; 1; 266; 687; 3; 0.000038; 6
amba_decomposed_encode_12.tlsf.ehoa; synt; tl-n; 0.000126; 1; 266; 687; 3; 0.000095; -1
amba_decomposed_encode_12.tlsf.ehoa; synt; rtl-n; 0.000040; 1; 266; 687; 3; 0.000033; -1
amba_decomposed_encode_12.tlsf.ehoa; synt; ortl-n; 0.000079; 1; 266; 687; 3; 0.000066; -1
amba_decomposed_encode_12.tlsf.ehoa; synt; npp-n; 0.000056; 1; 266; 687; 3; 0.000041; -1
amba_decomposed_encode_12.tlsf.ehoa; synt; zlk-n; 0.123891; 1; 266; 687; 3; 0.123876; 3
amba_decomposed_encode_13.tlsf.ehoa; synt; fpi-n; 0.119789; 1; 282; 734; 3; 0.119771; 10
amba_decomposed_encode_13.tlsf.ehoa; synt; fpj-n; 0.000118; 1; 282; 734; 3; 0.000090; 6
